Time,AC Primary Load,Grid Purchases,Grid Sales,Grid Demand Limit,Total Demand Rate,Total Consumption Rate,Grid Sellback Rate,:Energy Charge,Highway Charger Served,Total EV Charger Served,CAT-50kVA-50Hz-PP Power Output,CAT-50kVA-50Hz-PP Operating Status,CAT-50kVA-50Hz-PP Fuel,Total Electrical Load Served,Renewable Penetration,Total Renewable Power Output,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity,,AC Required Operating Capacity new values
01/04/2021 10:00,52.00801,109.508,0,173.2163,6.527055,0.071407,0.071407,1,57.5,57.5,0,0,0,109.508,0,0,133.5767,0,133.5767,0,,106.86136
01/04/2021 11:00,51.84866,64.34866,0,173.2163,6.527055,0.071407,0.071407,1,12.5,12.5,0,0,0,64.34866,0,0,86.15936,0,86.15936,0,,68.927488
01/04/2021 12:00,51.23626,65.40293,0,173.2163,6.527055,0.071407,0.071407,1,14.16667,14.16667,0,0,0,65.40293,0,0,87.26634,0,87.26634,0,,69.813072
01/04/2021 13:00,50.88864,81.72198,0,173.2163,6.527055,0.071407,0.071407,1,30.83333,30.83333,0,0,0,81.72198,0,0,104.4013,0,104.4013,0,,83.52104
01/04/2021 14:00,50.64021,81.47354,0,173.2163,6.527055,0.071407,0.071407,1,30.83333,30.83333,0,0,0,81.47354,0,0,104.1405,0,104.1405,0,,83.3124
01/04/2021 15:00,50.1384,147.6384,0,173.2163,6.527055,0.071407,0.071407,1,97.5,97.5,0,0,0,147.6384,0,0,173.6136,0,173.6136,0,,138.89088
01/04/2021 16:00,59.94589,69.11256,0,173.2163,6.527055,0.071407,0.071407,1,9.166667,9.166667,0,0,0,69.11256,0,0,91.16145,0,91.16145,0,,72.92916
01/04/2021 17:00,72.64606,116.8127,0,173.2163,6.527055,0.071407,0.071407,1,44.16667,44.16667,0,0,0,116.8127,0,0,141.2466,0,141.2466,0,,112.99728
01/04/2021 18:00,79.11709,113.2838,0,173.2163,6.527055,0.071407,0.071407,1,34.16667,34.16667,0,0,0,113.2838,0,0,137.5412,0,137.5412,0,,110.03296
01/04/2021 19:00,81.85239,101.0191,0,173.2163,6.527055,0.071407,0.071407,1,19.16667,19.16667,0,0,0,101.0191,0,0,124.6633,0,124.6633,0,,99.73064
01/04/2021 20:00,90.90404,132.5707,0,173.2163,6.527055,0.071407,0.071407,1,41.66667,41.66667,0,0,0,132.5707,0,0,157.7925,0,157.7925,0,,126.234
01/04/2021 21:00,85.58344,120.5834,0,173.2163,6.527055,0.071407,0.071407,1,35,35,0,0,0,120.5834,0,0,145.2059,0,145.2059,0,,116.16472
01/04/2021 22:00,60.75769,60.75769,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,60.75769,0,0,82.38884,0,82.38884,0,,65.911072
01/04/2021 23:00,41.12877,71.12877,0,173.2163,6.527055,0.071407,0.071407,1,30,30,0,0,0,71.12877,0,0,93.27847,0,93.27847,0,,74.622776
01/05/2021 00:00,37.41507,61.58173,0,173.2163,6.527055,0.071407,0.071407,1,24.16667,24.16667,0,0,0,61.58173,0,0,83.25408,0,83.25408,0,,66.603264
01/05/2021 01:00,36.7765,36.7765,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,36.7765,0,0,57.20859,0,57.20859,0,,45.766872
01/05/2021 02:00,35.62981,36.46315,0,173.2163,6.527055,0.071407,0.071407,1,0.8333333,0.8333333,0,0,0,36.46315,0,0,56.87957,0,56.87957,0,,45.503656
01/05/2021 03:00,36.03922,50.20589,0,173.2163,6.527055,0.071407,0.071407,1,14.16667,14.16667,0,0,0,50.20589,0,0,71.30945,0,71.30945,0,,57.04756
01/05/2021 04:00,37.94321,37.94321,0,173.2163,6.527055,0.071407,0.071407,1,0,0,0,0,0,37.94321,0,0,58.43364,0,58.43364,0,,46.746912
